AAMU,Alabama A&M
ACU,Abilene Christian
AFA,Air Force
AKR,Akron
ALA,Alabama
ALB,Albertus Magnus
ALBY,Albany
ALCN,Alcorn St
ALL,Alice Lloyd College
ALLEN,Allen
ALST,Alabama St
AMCC,Texas A&M-CC
AMER,American
AMI,Texas A&M-Int
APP,Appalachian St
AQU,Aquinas
ARIZ,Arizona
ARK,Arkansas
ARMY,Army
ARST,Arkansas St
ASU,Arizona St
AUB,Auburn
AUG,Augustana ILL
AUS,Austin
BALL,Ball St
BAPT,Central Baptist
BAY,Baylor
BBS,Barber Scotia
BC,Boston C
BCU,Bethune
BEL,Belmont
BGSU,Bowling Green
BING,Binghamton
BLU,Bluefield
BRAD,Bradley
BRWN,Brown
BRY,Bryant
BSU,Boise St
BU,Boston U
BUCK,Bucknell
BUFF,Buffalo
BUT,Butler
BYU,Brigham Young
CAL,California
CAM,Campbell
CAN,Canisius
CAR,Carroll (MT)
CCAR,Coastal Carolina
CCSU,Central Conn
CENT,Centenary
CHA,Chapman University
CHAM,Chaminade
CHAR,Charlotte
CHAT,Chattanooga
CHS,Chicago St
CHSO,Charleston Southern
CIN,Cincinnati
CIT,Citadel
CLEM,Clemson
CLEV,Cleveland St
CLMB,Columbia
CMU,Central Michigan
CNJ,New Jersey
COFC,Charl
COK,Coker
COLG,Colgate
COLO,Colorado
COLUM,Columbia International
CONN,Connecticut
COPP,Coppin St
COR,Cornell
CORB,Corban University
CP,Cal Poly
CREI,Creighton
CSB,Bakersfiel
CSF,Fullerton
CSSB,San Bernad
CSU,Colorado St
CSUN,Northridge
DART,Dartmouth
DAV,Davidson
DAY,Dayton
DEL,Delaware
DEN,Denver
DEP,DePaul
DET,Detroit
DRBRN,Michigan-Dearborn
DREX,Drexel
DRKE,Drake
DSU,Delaware St
DUKE,Duke
DUQ,Duquesne
EAU,Edward Waters College
ECU,East Carolina
EIU,Eastern Illinois
EKY,Eastern Kentucky
ELON,Elon
EMO,Emory & Henry
EMP,Emporia St
EMU,Eastern Mich
ENM,Eastern NM
ERS,Erskine
ETSU,East Tennessee St
EVAN,Evansville
EWU,Eastern Wash
FAIR,Fair
FAMU,Florida A&M
FAU,Florida Atlantic
FDU,Fairleigh Dic
FERM,Ferrum
FGCU,Florida Gulf Coast
FIT,Florida Tech
FIU,Florida Int
FLA,Florida
FOR,Fordham
FRES,Fresno St
FRM,Francis Marion
FRST,Ferris St
FSO,Florida Southern
FSU,Florida St
FUR,Furman
FVS,Fort Valley
FXS,Farmingdale St
GASO,Georgia Southern
GAST,Georgia St
GASW,GEO SOUTHWESTRN
GB,Green B
GCU,Grand Canyon
GMU,George Mason
GONZ,Gonzaga
GRAM,Grambling St
GRN,Greensboro
GT,Georgia Tech
GTWN,Georgetown
GUI,Guilford
GW,George Wash
HALL,Seton Hall
HAMP,Hampton
HAR,Hardin-Simmons
HART,Hartford
HARV,Harvard
HAW,Hawaii
HBU,Houston Baptist
HC,Holy Cross
HEN,Henderson St
HIL,Hillsdale
HOF,Hofstra
HOU,Houston
HOW,Howard
HP,High Point
HUS,Huston-Tillotson
IDA,College of Idaho
IDHO,Idaho
IDST,Idaho St
ILL,Illinois
ILST,Illinois St
IND,Indiana
INST,Indiana St
INW,Indiana-Northwest
IONA,Iona
IOWA,Iowa
IPFW,IPFW
ISU,Iowa St
IUP,Indiana (PA)
IUPU,IUPUI
IW,Incarnate Word
JAC,Jacksonville
JAR,Jarvis Christian
JKST,Jackson St
JMU,James Madison
JOES,Saint Joseph
JVST,Jacksonville St
JWN,Johnson & Wales (NC)
KEAN,Kean College
KENN,Kennesaw St
KENT,Kent St
KSU,Kansas St
KU,Kansas
KYS,Kentucky St
LAF,Lafayette
LAM,Lamar
LAS,La Salle
LBSU,Long Beach St
LEH,Lehigh
LIB,Liberty
L-IL,Loyola
LIP,Lipscomb
LIU,Long Island
L-MD,Loyola (MD)
LMU,Loyola Marym
LO,Lemoyne-Owen
LONG,Longwood
LOU,Louisville
LSU,LSU
LT,Louisiana Tec
LV,La Verne
LYDS,Lyndon St
MAINE,Maine
MAN,Manhattan
MAR,Marian
MARQ,Marquette
MCNS,McNeese St
MD,Maryland
MEM,Memphis
MER,Mercer
MET,Methodist
MI,Mount Ida College
MIA,Miami
MICH,Michigan
MILW,Milwauk
MINN,Minnesota
MISS,Miss
MIT,Massachusetts Institute of Technology
MIZ,Missouri
MLG,Milligan
MLSP,Millsaps
MNDU,Green Bay
M-OH,Miami (OH)
MON,Montreat College
MONM,Monmouth
MONT,Montana
MORE,Morehead St
MORG,Morgan St
MOST,Missouri St
MRSH,Marshall
MRST,Marist
MSB,Mont St Billings
MSM,St. Mary's
MSST,Mississippi S
MSU,Michigan St
MTS,Mt St Joseph
MTST,Montana St
MTSU,Middle Tenn
MURR,Murray St
MVSU,Valley S
MW,Mary Washington
MZS,Iowa St
NAU,Northern Ariz
NAVY,Navy
NCAT,North Carolina A&T
NCCU,North Carolina Cent
NCST,North Carolina St
ND,Notre Dame
NDSU,North Dakota S
NE,Northeastern
NEB,Nebraska
NEOS,Northeastern St
NEV,Nevada
NEW,Newman University
NG,North Greenville
NIAG,Niagara
NICH,Nicholls St
NIU,Northern Illinois
NJIT,N.J.I.T.
NKU,Northern Kentucky
NMI,Northern Michigan
NMSU,New Mexico St
NOVA,Villanova
NSU,Norfolk St
NW,Northwestern
NWN,Northwest Nazarene
NWST,Northwestern St
OAK,Oakland
OB,Ouachita Baptist
OCC,Occidental
ODU,Old Dominion
OFC,College of Coastal G
OHIO,Ohio
OKLA,Oklahoma
OKST,Oklahoma St
ORE,Oregon
ORST,Oregon St
ORU,Oral Roberts
OSU,Ohio St
PAC,Pacific
PEAY,Austin Peay
PENN,Pennsylvania
PEPP,Pepperdine
PITT,Pittsburgh
PL,Pacific Lutheran
PORT,Portland
PQ,Paul Quinn
PRE,Presbyterian
PRIN,Princeton
PROV,Providence
PRST,Portland St
PSU,Penn St
PUR,Purdue
PV,Prairie View
QU,Quinnipiac
QUN,Queens NC
RAD,Radford
RED,Redlands
RICE,Rice
RICH,Richmond
RID,Rider
RMU,Robert Morris
RUTG,Rutgers
SAC,Sacramento St
SAM,Samford
SAV,Savannah St
SBON,St. Bonaventure
SC,South Carolin
SCST,South Carolina St
SCU,Santa Clara
SDAK,South Dakota
SDCC,San Diego Christia
SDST,South Dakota
SDSU,San Diego St
SEA,Seattle
SELA,Louisia
SEMO,Missouri S
SF,San Francisco
SFA,Stephen
SFNY,St. Francis
SFU,St. Francis (PA)
SHSU,Sam Houston
SHU,Sacred Heart
SIE,Siena
SIU,Southern Illinois
SIUE,Edwardsville
SJSU,San Jose St
SJU,St. John
SLU,St. Louis 
SM,St. Martins
SMC,Mary's
SMU,Methodist
SNY,St. Joseph's (NY-Bro
SOU,Southern
SPHL,Spring Hill
SPU,Peter
SRU,Slippery Rock
STAN,Stanford
STET,Stetson
STJ,St. Josephs (IND)
STKAT,Saint Katherine College
STON,Stony Brook
SUU,Southern Utah
SYR,Syracuse
TAMU,Texas A&M
TCU,TCU
TEM,Temple
TENN,Tennessee
TEX,Texas
TLSA,Tulsa
TNST,Tennessee St
TNTC,Tennessee Tec
TOL,Toledo
TOWS,Towson
TRGV,Pan Amer
TROY,Troy
TRU,Truman St
TTU,Texas Tech
TULN,Tulane
TUSC,Tusculum (TN)
TXSO,Texas South
TXST,Texas St
UAA,Alaska Anchor
UAB,UAB
UALR,Arkansas
UAPB,Arkansas-Pine Bluff
UC,Union Ky College
UCA,Arkansas
UCD,UC Davis
UCF,Central Flori
UCI,UC Irvine
UCLA,UCLA
UCRV,UC Riverside
UCSB,UC Santa Barbara
UGA,Georgia
UIC,Illinois-Chicago
UK,Kentucky
ULL,Lafayette
ULM,Mon
UMASS,Massachusetts
UMBC,UMBC
UMES,Eastern Sh
UMKC,UMKC
UML,UMass Lowell
UNC,North Carolin
UNCA,Ashev
UNCG,NC Greensboro
UNCO,Northern Colorado
UNCW,Wilmi
UND,North Dakota
UNF,North Florida
UNH,New Hampshire
UNI,Northern Iowa
UNLV,UNLV
UNM,New Mexico
UNO,New Orleans
UNT,North Texas
UPST,USC Upst
URI,Rhode Island
USA,South Alabama
USC,USC
USD,San Diego
USF,South Florida
USM,Southern Miss
USU,Utah St
UTA,Arlingt
UTAH,Utah
UTEP,UTEP
UTM,Martin
UTSA,UT
UVA,Virginia
UVM,Vermont
UVU,Utah Valley
VALP,Valparaiso
VAN,Vanderbilt
VAS,Vassar
VCU,Virginia Commonwealt
VMI,Virginia Military
VT,Virginia Tech
W&M,William & Mary
WAG,Wagner
WAKE,Wake Forest
WASH,Washington
WAU,Washington Adventist
WCK,Western St
WCU,Western Carolina
WDF,Waldorf
WEB,Weber St
WEBB,Webb
WES,West Alabama
WICH,Wichita St
WIL,William Jessup
WIN,Winthrop
WIS,Wisconsin
WIU,Western Illin
WKU,Western Kent
WMU,Western Michigan
WOF,Wofford
WRST,Wright St
WSSU,Winston-Salem
WSU,Washington St
WVTU,W. Virginia Tech
WVU,West Virginia
WWN,Warren Wilson
WYO,Wyoming
XAV,Xavier
YALE,Yale
YSU,Youngstown St
